UID,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20
"Alameda County, CA-US","Alameda County, CA",US,37.6017,-121.7195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6
Anhui-Mainland China,Anhui,Mainland China,31.8257,117.2264,1,10,25,64,124,194,300,450,648,882,1174,1507,1901,2361,2868,3425,4043,4717,5423,6162,6913,7671,8419,9154,9877,10578,11265,11880,12447,12954,13397,13783,14129,14449,14720,14959,15150,15313,15429,15540,15607,15655,15683,15697,15702,15707
Beijing-Mainland China,Beijing,Mainland China,40.1824,116.4142,14,36,71,110,176,253,339,445,554,687,845,1026,1225,1429,1657,1899,2162,2441,2728,3019,3310,3603,3897,4186,4459,4727,4990,5251,5495,5733,5956,6173,6379,6576,6757,6918,7075,7221,7353,7482,7606,7724,7837,7950,8065,8180
"Bergen County, NJ-US","Bergen County, NJ",US,40.9263,-74.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8
British Columbia-Canada,British Columbia,Canada,49.2827,-123.1207,0,0,0,0,0,0,1,2,3,4,5,6,7,8,10,12,16,20,24,28,32,36,40,44,48,52,57,62,67,72,78,84,90,96,103,110,114,118,123,128,133,139,148,158,176,193
"Broward County, FL-US","Broward County, FL",US,26.1901,-80.3659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Calgary, Alberta-Canada","Calgary, Alberta",Canada,51.0447,-114.0719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Charleston County, SC-US","Charleston County, SC",US,32.7957,-79.7848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Chatham County, NC-US","Chatham County, NC",US,35.7211,-79.1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Chongqing-Mainland China,Chongqing,Mainland China,30.0572,107.874,6,15,42,99,174,284,416,562,743,953,1196,1487,1813,2168,2540,2925,3318,3705,4120,4538,4961,5374,5771,6151,6506,6845,7168,7464,7745,8007,8257,8496,8730,8951,9149,9335,9504,9652,9784,9904,10005,10085,10153,10211,10268,10312
"Clark County, NV-US","Clark County, NV",US,36.0796,-115.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
"Clark County, WA-US","Clark County, WA",US,45.7466,-122.5194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cobb County, GA-US","Cobb County, GA",US,33.8999,-84.5641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Contra Costa County, CA-US","Contra Costa County, CA",US,37.8534,-121.9018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8
"Cook County, IL-US","Cook County, IL",US,41.7377,-87.6976,0,0,1,2,3,4,5,6,7,9,11,13,15,17,19,21,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,28,30,32,35,38,42
"Davis County, UT-US","Davis County, UT",US,40.9629,-112.0953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
