State,FIPS,County,County Seat(s),Population(010),Land Areakm,Land Areami,Water Areakm,Water Areami,Total Areakm,Total Areami,Lat,Long
AL,1001,Autauga,Prattville,54571.00,1539.58,594.44,25.78,9.95,1565.36,604.39,32.536,–86.6444
AL,1003,Baldwin,Bay Minette,182265.00,4117.52,1589.78,1133.19,437.53,5250.71,2027.31,30.659,–87.7460
AL,1005,Barbour,Clayton,27457.00,2291.82,884.88,50.87,19.64,2342.68,904.52,31.871,–85.4054
AL,1007,Bibb,Centreville,22915.00,1612.48,622.58,9.29,3.59,1621.77,626.17,33.016,–87.1271
AL,1009,Blount,Oneonta,57322.00,1669.96,644.78,15.16,5.85,1685.12,650.63,33.977,–86.5672
AL,1011,Bullock,Union Springs,10914.00,1613.06,622.81,6.06,2.34,1619.11,625.14,32.102,–85.7172
AL,1013,Butler,Greenville,20947.00,2011.98,776.83,2.73,1.05,2014.70,777.88,31.752,–86.6819
AL,1015,Calhoun,Anniston,118572.00,1569.19,605.87,16.62,6.42,1585.81,612.29,33.772,–85.8225
AL,1017,Chambers,Lafayette,34215.00,1545.01,596.53,17.05,6.58,1562.06,603.11,32.918,–85.3918
AL,1019,Cherokee,Centre,25989.00,1434.08,553.70,119.86,46.28,1553.94,599.98,34.070,–85.6542
AL,1021,Chilton,Clanton,43643.00,1794.48,692.85,20.59,7.95,1815.07,700.80,32.854,–86.7266
AL,1023,Choctaw,Butler,13859.00,2365.96,913.50,19.06,7.36,2385.01,920.86,31.991,–88.2488
AL,1025,Clarke,Grove Hill,25833.00,3207.61,1238.47,36.54,14.11,3244.15,1252.57,31.686,–87.8186
AL,1027,Clay,Ashland,13932.00,1564.25,603.96,5.29,2.04,1569.54,606.00,33.268,–85.8620
AL,1029,Cleburne,Heflin,14972.00,1450.65,560.10,2.37,0.91,1453.02,561.01,33.672,–85.5161
AL,1031,Coffee,"Elba, Enterprise",49948.00,1758.53,678.97,3.95,1.52,1762.47,680.50,31.402,–85.9892
AL,1033,Colbert,Tuscumbia,54428.00,1534.88,592.62,76.43,29.51,1611.31,622.13,34.703,–87.8014
AL,1035,Conecuh,Evergreen,13228.00,2201.90,850.16,6.65,2.57,2208.54,852.72,31.428,–86.9920
AL,1037,Coosa,Rockford,11539.00,1685.89,650.93,39.95,15.42,1725.84,666.35,32.931,–86.2434
AL,1039,Covington,Andalusia,37765.00,2668.87,1030.46,34.53,13.33,2703.40,1043.79,31.244,–86.4487
AL,1041,Crenshaw,Luverne,13906.00,1576.89,608.84,5.38,2.08,1582.26,610.92,31.733,–86.3192
AL,1043,Cullman,Cullman,80406.00,1903.23,734.84,52.27,20.18,1955.50,755.02,34.132,–86.8692
AL,1045,Dale,Ozark,50251.00,1453.37,561.15,4.02,1.55,1457.39,562.70,31.431,–85.6094
AL,1047,Dallas,Selma,43820.00,2534.81,978.70,39.14,15.11,2573.94,993.81,32.334,–87.1143
AL,1049,DeKalb,Fort Payne,71109.00,2012.66,777.09,4.12,1.59,2016.79,778.69,34.461,–85.8039
AL,1051,Elmore,Wetumpka,79303.00,1601.87,618.49,99.86,38.56,1701.73,657.04,32.597,–86.1427
AL,1053,Escambia,Brewton,38319.00,2447.75,945.08,20.87,8.06,2468.62,953.14,31.122,–87.1684
AL,1055,Etowah,Gadsden,104430.00,1385.62,534.99,35.32,13.64,1420.94,548.63,34.048,–86.0344
AL,1057,Fayette,Fayette,17241.00,1625.63,627.66,4.39,1.70,1630.02,629.36,33.732,–87.7520
AL,1059,Franklin,Russellville,31704.00,1641.59,633.82,32.90,12.70,1674.49,646.52,34.442,–87.8428
AL,1061,Geneva,Geneva,26790.00,1487.71,574.41,11.77,4.54,1499.48,578.95,31.091,–85.8243
AL,1063,Greene,Eutaw,9045.00,1676.01,647.11,33.23,12.83,1709.24,659.94,32.844,–87.9642
AL,1065,Hale,Greensboro,15760.00,1667.80,643.94,32.53,12.56,1700.33,656.50,32.753,–87.6230
AL,1067,Henry,Abbeville,17302.00,1454.93,561.75,16.99,6.56,1471.91,568.31,31.517,–85.2399
AL,1069,Houston,Dothan,101547.00,1501.74,579.82,4.74,1.83,1506.48,581.65,31.158,–85.2963
AL,1071,Jackson,Scottsboro,53227.00,2791.67,1077.87,126.66,48.90,2918.32,1126.77,34.764,–85.9774
AL,1073,Jefferson,Birmingham,658466.00,2878.19,1111.28,32.47,12.54,2910.67,1123.81,33.553,–86.8965
AL,1075,Lamar,Vernon,14564.00,1566.55,604.85,1.60,0.62,1568.15,605.46,33.787,–88.0874
AL,1077,Lauderdale,Florence,92709.00,1729.33,667.70,138.03,53.29,1867.36,720.99,34.904,–87.6509
AL,1079,Lawrence,Moulton,34339.00,1788.85,690.68,68.69,26.52,1857.54,717.20,34.530,–87.3218
AL,1081,Lee,Opelika,140247.00,1573.51,607.54,21.53,8.31,1595.04,615.85,32.604,–85.3530
AL,1083,Limestone,Athens,82782.00,1450.23,559.94,122.38,47.25,1572.61,607.19,34.810,–86.9814
